"","x"
"Pamphorichthys_scalpridens",0
"Pamphorichthys_minor",0
"Pamphorichthys_araguaiensis",0
"Micropoecilia_branneri",0
"Orestias_agassizii",0
"Austrofundulus_rupununi",0
"Pterolebias_longipinnis",0
"Trigonectes_rubromarginatus",0
"Neofundulus_ornatipinnis",0
"Moema_staecki",0
"Aphyolebias_peruensis",0
"Anablepsoides_ophiomimus",0
"Anablepsoides_rubrolineatus",0
"Anablepsoides_iridescens",0
"Anablepsoides_jucundus",0
"Anablepsoides_urophthalmus",0
"Anablepsoides_waimacui",0
"Melanorivulus_pictus",0
"Melanorivulus_violaceus",0
"Maratecoara_formosa",0
"Maratecoara_lacortei",0
"Pituna_poranga",0
"Plesiolebias_aruana",0
"Laimosemion_breviceps",0
"Laimosemion_strigatus",0
"Laimosemion_geayi",0
"Laimosemion_rectocaudatus",0
"Laimosemion_kirovskyi",0
"Hypsolebias_flammeus",0
"Strongylura_marina",0
"Potamorrhaphis_eigenmanni",0
"Potamorrhaphis_guianensis",0
"Potamorrhaphis_petersi",0
"Belonion_dibranchodon",0
"Belonion_apodion",0
"Pseudotylosurus_angusticeps",0
"Pseudotylosurus_microps",0
"Caquetaia_spectabilis",0
"Caquetaia_myersi",0
"Caquetaia_kraussii",0
"Heroina_isonycterina",0
"Symphysodon_tarzoo",0
"Symphysodon_aequifasciatus",0
"Symphysodon_discus",0
"Heros_severus",0
"Heros_efasciatus",0
"Uaru_amphiacanthoides",0
"Mesonauta_mirificus",0
"Mesonauta_egregius",0
"Mesonauta_festivus",0
"Mesonauta_insignis",0
"Hypselecara_temporalis",0
"Hypselecara_coryphaenoides",0
"Hoplarchus_psittacus",0
"Pterophyllum_leopoldi",0
"Cichlasoma_bimaculatum",0
"Cichlasoma_amazonarum",0
"Cichlasoma_boliviense",0
"Cichlasoma_araguaiense",0
"Aequidens_patricki",0
"Aequidens_tetramerus",0
"Aequidens_metae",0
"Aequidens_diadema",0
"Aequidens_tubicen",0
"Krobia_xinguensis",0
"Andinoacara_pulcher",0
"Bujurquina_peregrinabunda",0
"Bujurquina_syspilus",0
"Bujurquina_vittata",0
"Tahuantinsuyoa_macantzatza",0
"Acaronia_vultuosa",0
